GEO_ID,NAME,B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M
Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Not Hispanic or Latino:,Margin of Error!!Total:!!Not Hispanic or Latino:,Estimate!!Total:!!Not Hispanic or Latino:!!White alone,Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone,Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone,Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone,Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone,Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone,Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone,Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone,Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone,Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone,Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:,Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:,Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,"Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",Estimate!!Total:!!Hispanic or Latino:,Margin of Error!!Total:!!Hispanic or Latino:,Estimate!!Total:!!Hispanic or Latino:!!White alone,Margin of Error!!Total:!!Hispanic or Latino:!!White alone,Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone,Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone,Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone,Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone,Estimate!!Total:!!Hispanic or Latino:!!Asian alone,Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone,Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total:!!Hispanic or Latino:!!Some other race alone,Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone,Estimate!!Total:!!Hispanic or Latino:!!Two or more races:,Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:,Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race,Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race,"Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
1001,"Autauga County, Alabama",58761,*****,56897,*****,42635,224,11496,525,59,71,636,213,0,30,141,183,1930,598,363,241,1567,532,1864,*****,1112,229,0,30,0,30,22,49,0,30,180,108,550,240,537,237,13,19
1003,"Baldwin County, Alabama",233420,*****,222210,*****,192161,1020,19318,730,512,187,2046,347,22,26,992,807,7159,918,961,469,6198,816,11210,*****,3837,700,127,95,336,292,0,30,9,16,3422,850,3479,808,2991,721,488,351
1005,"Barbour County, Alabama",24877,*****,23675,*****,11084,174,11662,218,63,37,126,26,3,4,290,201,447,174,46,43,401,166,1202,*****,225,141,6,9,11,15,0,24,0,24,798,161,162,83,149,81,13,21
1007,"Bibb County, Alabama",22251,*****,21601,*****,16520,34,4598,294,15,23,69,94,0,24,17,30,382,220,33,42,349,220,650,*****,352,225,5,19,6,10,0,24,0,24,91,126,196,191,76,89,120,179
1009,"Blount County, Alabama",59077,*****,53356,*****,50614,377,729,196,75,46,100,96,117,96,87,80,1634,388,481,367,1153,196,5721,*****,3327,572,0,30,152,160,0,30,0,30,1772,536,470,232,400,219,70,94
1011,"Bullock County, Alabama",10328,*****,9421,*****,2125,75,7117,88,0,20,43,49,0,20,0,20,136,112,70,75,66,77,907,*****,272,228,0,20,0,20,0,20,0,20,568,259,67,73,67,73,0,20
1013,"Butler County, Alabama",18981,*****,18659,*****,9655,18,8462,68,69,51,243,59,0,20,8,11,222,106,8,14,214,103,322,*****,122,73,0,20,0,20,0,20,0,20,49,34,151,55,146,56,5,14
1015,"Calhoun County, Alabama",116162,*****,111426,*****,81851,287,25204,415,174,92,708,138,207,190,427,275,2855,389,206,133,2649,346,4736,*****,1455,481,427,241,84,79,57,59,0,30,1796,418,917,321,867,328,50,46
1017,"Chambers County, Alabama",34612,*****,33483,*****,18794,65,14107,153,10,22,60,54,3,5,63,63,446,138,9,14,437,138,1129,*****,848,95,7,15,11,20,0,27,0,27,177,99,86,71,86,71,0,27
1019,"Cherokee County, Alabama",25069,*****,24590,*****,22749,101,1000,142,113,77,21,58,0,24,16,25,691,173,107,99,584,142,479,*****,135,74,8,15,7,12,6,10,0,24,190,76,133,82,30,33,103,77
1021,"Chilton County, Alabama",45140,*****,41476,*****,35714,233,4254,228,17,12,229,48,15,29,318,216,929,240,56,63,873,232,3664,*****,979,568,3,12,630,555,0,27,121,195,1194,524,737,251,725,257,12,24
1023,"Choctaw County, Alabama",12669,*****,12526,*****,7162,20,5055,174,28,30,15,24,0,20,0,20,266,165,0,20,266,165,143,*****,18,28,7,13,0,20,0,20,0,20,85,64,33,55,0,20,33,55
1025,"Clarke County, Alabama",23058,*****,22723,*****,11809,99,10479,91,15,17,90,30,0,24,146,98,184,88,9,13,175,88,335,*****,53,71,11,22,0,24,0,24,0,24,48,74,223,102,47,60,176,122
1027,"Clay County, Alabama",14209,*****,13772,*****,11385,55,1790,217,0,20,36,42,0,20,12,20,549,219,131,115,418,196,437,*****,196,108,0,20,5,16,0,20,0,20,116,106,120,131,120,131,0,20
1029,"Cleburne County, Alabama",15144,*****,14743,*****,13964,49,411,64,22,23,15,24,0,20,28,38,303,79,26,29,277,66,401,*****,64,25,0,20,13,21,0,20,0,20,235,87,89,73,89,73,0,20
